[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
20 26 0 1 4 0 100 5.290 5.493 
26 32 0 1 4 0 100 5.439 6.006 
32 40 0 1 4 0 100 5.639 6.550 
40 51 0 1 4 0 100 5.813 7.256 
51 64 0 1 4 0 100 5.997 8.017 
64 80 0 1 4 0 100 5.564 8.833 
80 101 0 1 4 0 100 5.759 9.705 
101 127 0 1 4 0 100 5.314 10.551 
127 159 0 1 4 0 100 5.330 11.674 
159 200 0 1 4 0 100 5.359 12.566 
200 252 0 1 4 0 100 5.169 13.723 
252 317 0 1 4 0 100 4.820 14.733 
317 399 0 1 4 0 100 4.774 15.494 
399 502 0 1 4 0 100 4.829 16.385 
502 632 0 1 4 0 100 4.714 17.080 
632 795 0 1 4 0 100 4.534 17.407 
795 1000 0 1 4 0 100 4.435 18.257 
1000 3500 0 1 4 0 100 4.484 18.746 
20 26 1 2 4 0 100 6.012 6.053 
26 32 1 2 4 0 100 5.993 6.599 
32 40 1 2 4 0 100 6.281 7.244 
40 51 1 2 4 0 100 6.283 7.911 
51 64 1 2 4 0 100 6.177 8.751 
64 80 1 2 4 0 100 6.087 9.498 
80 101 1 2 4 0 100 6.068 10.426 
101 127 1 2 4 0 100 5.812 11.329 
127 159 1 2 4 0 100 5.674 12.274 
159 200 1 2 4 0 100 5.563 13.427 
200 252 1 2 4 0 100 5.486 14.413 
252 317 1 2 4 0 100 5.273 15.507 
317 399 1 2 4 0 100 5.055 16.538 
399 502 1 2 4 0 100 5.054 17.295 
502 632 1 2 4 0 100 4.866 18.181 
632 795 1 2 4 0 100 4.899 18.829 
795 1000 1 2 4 0 100 4.936 19.072 
1000 3500 1 2 4 0 100 4.902 19.752 
20 26 2 3 4 0 100 6.589 6.670 
26 32 2 3 4 0 100 6.891 7.377 
32 40 2 3 4 0 100 6.834 7.899 
40 51 2 3 4 0 100 6.822 8.653 
51 64 2 3 4 0 100 6.678 9.459 
64 80 2 3 4 0 100 6.686 10.215 
80 101 2 3 4 0 100 6.660 11.158 
101 127 2 3 4 0 100 6.295 12.090 
127 159 2 3 4 0 100 6.232 13.097 
159 200 2 3 4 0 100 6.047 14.152 
200 252 2 3 4 0 100 5.849 15.212 
252 317 2 3 4 0 100 5.649 16.318 
317 399 2 3 4 0 100 5.551 17.309 
399 502 2 3 4 0 100 5.293 18.184 
502 632 2 3 4 0 100 5.252 18.984 
632 795 2 3 4 0 100 5.109 19.640 
795 1000 2 3 4 0 100 5.100 19.862 
1000 3500 2 3 4 0 100 5.096 20.554 
20 26 3 4 4 0 100 7.294 7.447 
26 32 3 4 4 0 100 7.161 8.086 
32 40 3 4 4 0 100 7.452 8.735 
40 51 3 4 4 0 100 7.413 9.472 
51 64 3 4 4 0 100 7.413 10.177 
64 80 3 4 4 0 100 7.204 11.082 
80 101 3 4 4 0 100 7.099 11.898 
