[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
20 26 0 1 4 0 100 4.047 5.365 
26 32 0 1 4 0 100 4.746 6.075 
32 40 0 1 4 0 100 4.172 6.722 
40 51 0 1 4 0 100 4.426 7.700 
51 64 0 1 4 0 100 4.484 8.492 
64 80 0 1 4 0 100 4.306 9.382 
80 101 0 1 4 0 100 3.994 10.015 
101 127 0 1 4 0 100 3.856 10.769 
127 159 0 1 4 0 100 3.855 11.715 
159 200 0 1 4 0 100 3.813 12.421 
200 252 0 1 4 0 100 3.806 13.215 
252 317 0 1 4 0 100 3.605 13.918 
317 399 0 1 4 0 100 3.626 14.521 
399 502 0 1 4 0 100 3.681 15.070 
502 632 0 1 4 0 100 3.898 15.554 
632 795 0 1 4 0 100 3.785 15.545 
795 1000 0 1 4 0 100 4.135 15.399 
1000 3500 0 1 4 0 100 4.731 14.874 
20 26 1 2 4 0 100 4.026 5.765 
26 32 1 2 4 0 100 4.465 6.489 
32 40 1 2 4 0 100 4.661 7.323 
40 51 1 2 4 0 100 4.627 8.098 
51 64 1 2 4 0 100 4.561 8.948 
64 80 1 2 4 0 100 4.525 9.748 
80 101 1 2 4 0 100 4.346 10.591 
101 127 1 2 4 0 100 4.250 11.366 
127 159 1 2 4 0 100 4.060 12.157 
159 200 1 2 4 0 100 4.001 12.998 
200 252 1 2 4 0 100 3.793 13.657 
252 317 1 2 4 0 100 3.790 14.480 
317 399 1 2 4 0 100 3.805 15.261 
399 502 1 2 4 0 100 3.809 15.921 
502 632 1 2 4 0 100 3.923 16.375 
632 795 1 2 4 0 100 4.010 16.668 
795 1000 1 2 4 0 100 4.094 16.488 
1000 3500 1 2 4 0 100 4.415 15.604 
20 26 2 3 4 0 100 4.584 5.995 
26 32 2 3 4 0 100 4.685 6.786 
32 40 2 3 4 0 100 4.927 7.568 
40 51 2 3 4 0 100 4.887 8.458 
51 64 2 3 4 0 100 4.836 9.343 
64 80 2 3 4 0 100 4.763 10.152 
80 101 2 3 4 0 100 4.567 10.948 
101 127 2 3 4 0 100 4.346 11.774 
127 159 2 3 4 0 100 4.236 12.577 
159 200 2 3 4 0 100 4.034 13.382 
200 252 2 3 4 0 100 3.984 14.085 
252 317 2 3 4 0 100 3.915 14.928 
317 399 2 3 4 0 100 3.954 15.667 
399 502 2 3 4 0 100 3.901 16.401 
502 632 2 3 4 0 100 4.073 16.906 
632 795 2 3 4 0 100 4.067 17.065 
795 1000 2 3 4 0 100 4.292 16.858 
1000 3500 2 3 4 0 100 4.718 16.133 
20 26 3 4 4 0 100 4.708 6.327 
26 32 3 4 4 0 100 4.934 7.098 
32 40 3 4 4 0 100 5.055 7.909 
40 51 3 4 4 0 100 4.951 8.735 
51 64 3 4 4 0 100 4.990 9.639 
64 80 3 4 4 0 100 4.838 10.533 
80 101 3 4 4 0 100 4.717 11.291 
101 127 3 4 4 0 100 4.567 12.089 
127 159 3 4 4 0 100 4.441 12.918 
159 200 3 4 4 0 100 4.252 13.715 
200 252 3 4 4 0 100 4.129 14.456 
252 317 3 4 4 0 100 4.112 15.289 
317 399 3 4 4 0 100 4.047 16.034 
399 502 3 4 4 0 100 4.090 16.789 
502 632 3 4 4 0 100 4.185 17.175 
632 795 3 4 4 0 100 4.207 17.371 
795 1000 3 4 4 0 100 4.423 17.214 
1000 3500 3 4 4 0 100 4.802 16.407 
20 26 4 5 4 0 100 5.048 6.643 
26 32 4 5 4 0 100 5.009 7.413 
32 40 4 5 4 0 100 5.189 8.193 
40 51 4 5 4 0 100 5.232 9.120 
51 64 4 5 4 0 100 5.096 9.911 
64 80 4 5 4 0 100 4.937 10.790 
80 101 4 5 4 0 100 4.839 11.639 
101 127 4 5 4 0 100 4.671 12.371 
127 159 4 5 4 0 100 4.534 13.164 
159 200 4 5 4 0 100 4.352 14.000 
200 252 4 5 4 0 100 4.257 14.820 
252 317 4 5 4 0 100 4.223 15.539 
317 399 4 5 4 0 100 4.241 16.383 
399 502 4 5 4 0 100 4.240 17.067 
502 632 4 5 4 0 100 4.314 17.609 
632 795 4 5 4 0 100 4.330 17.850 
795 1000 4 5 4 0 100 4.473 17.549 
1000 3500 4 5 4 0 100 4.959 16.646 
20 26 5 6 4 0 100 5.132 6.934 
26 32 5 6 4 0 100 5.419 7.721 
32 40 5 6 4 0 100 5.513 8.550 
40 51 5 6 4 0 100 5.499 9.359 
51 64 5 6 4 0 100 5.415 10.219 
64 80 5 6 4 0 100 5.154 11.031 
80 101 5 6 4 0 100 4.924 11.935 
101 127 5 6 4 0 100 4.812 12.691 
127 159 5 6 4 0 100 4.624 13.558 
159 200 5 6 4 0 100 4.490 14.292 
200 252 5 6 4 0 100 4.389 15.062 
252 317 5 6 4 0 100 4.322 15.934 
317 399 5 6 4 0 100 4.372 16.599 
399 502 5 6 4 0 100 4.339 17.422 
502 632 5 6 4 0 100 4.402 17.928 
632 795 5 6 4 0 100 4.551 18.061 
795 1000 5 6 4 0 100 4.741 17.999 
1000 3500 5 6 4 0 100 4.983 16.889 
20 26 6 7 4 0 100 5.368 7.227 
26 32 6 7 4 0 100 5.404 7.963 
32 40 6 7 4 0 100 5.697 8.743 
40 51 6 7 4 0 100 5.653 9.686 
51 64 6 7 4 0 100 5.565 10.519 
64 80 6 7 4 0 100 5.286 11.331 
80 101 6 7 4 0 100 5.113 12.239 
101 127 6 7 4 0 100 4.948 12.981 
127 159 6 7 4 0 100 4.695 13.749 
159 200 6 7 4 0 100 4.643 14.663 
200 252 6 7 4 0 100 4.470 15.384 
252 317 6 7 4 0 100 4.451 16.274 
317 399 6 7 4 0 100 4.431 17.018 
399 502 6 7 4 0 100 4.555 17.700 
502 632 6 7 4 0 100 4.587 18.267 
632 795 6 7 4 0 100 4.615 18.364 
795 1000 6 7 4 0 100 4.910 18.081 
1000 3500 6 7 4 0 100 5.248 17.349 
20 26 7 8 4 0 100 5.594 7.515 
26 32 7 8 4 0 100 5.769 8.309 
32 40 7 8 4 0 100 5.774 9.105 
40 51 7 8 4 0 100 5.897 9.936 
51 64 7 8 4 0 100 5.705 10.818 
64 80 7 8 4 0 100 5.620 11.649 
80 101 7 8 4 0 100 5.319 12.410 
101 127 7 8 4 0 100 5.058 13.305 
127 159 7 8 4 0 100 4.916 14.025 
159 200 7 8 4 0 100 4.691 14.918 
200 252 7 8 4 0 100 4.661 15.678 
252 317 7 8 4 0 100 4.634 16.495 
317 399 7 8 4 0 100 4.557 17.241 
399 502 7 8 4 0 100 4.661 17.989 
502 632 7 8 4 0 100 4.769 18.565 
632 795 7 8 4 0 100 4.765 18.890 
795 1000 7 8 4 0 100 5.066 18.455 
1000 3500 7 8 4 0 100 5.468 17.542 
20 26 8 9 4 0 100 5.944 7.814 
26 32 8 9 4 0 100 6.003 8.632 
32 40 8 9 4 0 100 6.068 9.342 
40 51 8 9 4 0 100 5.916 10.211 
51 64 8 9 4 0 100 6.015 11.099 
64 80 8 9 4 0 100 5.668 11.965 
80 101 8 9 4 0 100 5.441 12.739 
101 127 8 9 4 0 100 5.250 13.551 
127 159 8 9 4 0 100 4.959 14.493 
159 200 8 9 4 0 100 4.805 15.138 
200 252 8 9 4 0 100 4.732 16.022 
252 317 8 9 4 0 100 4.682 16.788 
317 399 8 9 4 0 100 4.689 17.672 
399 502 8 9 4 0 100 4.782 18.317 
502 632 8 9 4 0 100 4.967 18.827 
632 795 8 9 4 0 100 4.975 19.170 
795 1000 8 9 4 0 100 5.172 18.649 
1000 3500 8 9 4 0 100 5.464 18.092 
20 26 9 10 4 0 100 6.026 8.056 
26 32 9 10 4 0 100 6.023 8.840 
32 40 9 10 4 0 100 6.470 9.666 
40 51 9 10 4 0 100 6.282 10.601 
51 64 9 10 4 0 100 6.009 11.417 
64 80 9 10 4 0 100 5.806 12.185 
80 101 9 10 4 0 100 5.630 13.050 
101 127 9 10 4 0 100 5.201 13.842 
127 159 9 10 4 0 100 5.086 14.681 
159 200 9 10 4 0 100 4.932 15.475 
200 252 9 10 4 0 100 4.749 16.261 
252 317 9 10 4 0 100 4.688 17.151 
317 399 9 10 4 0 100 4.797 17.927 
399 502 9 10 4 0 100 4.911 18.682 
502 632 9 10 4 0 100 4.998 19.175 
632 795 9 10 4 0 100 4.993 19.331 
795 1000 9 10 4 0 100 5.391 19.067 
1000 3500 9 10 4 0 100 5.770 18.240 
20 26 10 11 4 0 100 6.150 8.262 
26 32 10 11 4 0 100 6.564 9.092 
32 40 10 11 4 0 100 6.318 9.865 
40 51 10 11 4 0 100 6.339 10.762 
51 64 10 11 4 0 100 5.948 11.583 
64 80 10 11 4 0 100 5.830 12.568 
80 101 10 11 4 0 100 5.754 13.296 
101 127 10 11 4 0 100 5.344 14.183 
127 159 10 11 4 0 100 5.290 14.896 
159 200 10 11 4 0 100 5.022 15.618 
200 252 10 11 4 0 100 5.006 16.425 
252 317 10 11 4 0 100 4.921 17.293 
317 399 10 11 4 0 100 4.825 18.263 
399 502 10 11 4 0 100 5.016 19.010 
502 632 10 11 4 0 100 5.305 19.564 
632 795 10 11 4 0 100 5.156 19.630 
795 1000 10 11 4 0 100 5.260 19.578 
1000 3500 10 11 4 0 100 5.957 18.397 
20 26 11 12 4 0 100 6.195 8.675 
26 32 11 12 4 0 100 6.612 9.312 
32 40 11 12 4 0 100 6.295 10.200 
40 51 11 12 4 0 100 6.319 11.009 
51 64 11 12 4 0 100 6.381 11.936 
64 80 11 12 4 0 100 6.017 12.774 
80 101 11 12 4 0 100 5.952 13.558 
101 127 11 12 4 0 100 5.615 14.423 
127 159 11 12 4 0 100 5.325 15.271 
159 200 11 12 4 0 100 5.101 15.966 
200 252 11 12 4 0 100 5.111 16.820 
252 317 11 12 4 0 100 4.877 17.572 
317 399 11 12 4 0 100 5.072 18.335 
399 502 11 12 4 0 100 5.109 19.243 
502 632 11 12 4 0 100 5.311 19.778 
632 795 11 12 4 0 100 5.325 20.093 
795 1000 11 12 4 0 100 5.601 19.570 
1000 3500 11 12 4 0 100 6.203 18.812 
20 26 12 13 4 0 100 6.041 8.896 
26 32 12 13 4 0 100 6.266 9.826 
32 40 12 13 4 0 100 6.298 10.259 
40 51 12 13 4 0 100 6.388 11.271 
51 64 12 13 4 0 100 6.749 12.224 
64 80 12 13 4 0 100 6.204 13.053 
80 101 12 13 4 0 100 6.027 13.803 
101 127 12 13 4 0 100 5.656 14.685 
127 159 12 13 4 0 100 5.260 15.462 
159 200 12 13 4 0 100 5.217 16.193 
200 252 12 13 4 0 100 5.107 17.036 
252 317 12 13 4 0 100 5.127 17.910 
317 399 12 13 4 0 100 5.321 18.696 
399 502 12 13 4 0 100 5.176 19.616 
502 632 12 13 4 0 100 5.500 19.950 
632 795 12 13 4 0 100 5.467 20.343 
795 1000 12 13 4 0 100 5.872 19.796 
1000 3500 12 13 4 0 100 6.276 19.179 
20 26 13 14 4 0 100 6.752 9.528 
26 32 13 14 4 0 100 6.312 10.078 
32 40 13 14 4 0 100 6.925 10.638 
40 51 13 14 4 0 100 6.507 11.563 
51 64 13 14 4 0 100 6.545 12.364 
64 80 13 14 4 0 100 6.233 13.343 
80 101 13 14 4 0 100 5.972 14.054 
101 127 13 14 4 0 100 5.874 14.787 
127 159 13 14 4 0 100 5.553 15.510 
159 200 13 14 4 0 100 5.479 16.704 
200 252 13 14 4 0 100 5.297 17.549 
252 317 13 14 4 0 100 5.114 18.304 
317 399 13 14 4 0 100 5.232 19.134 
399 502 13 14 4 0 100 5.391 19.896 
502 632 13 14 4 0 100 5.345 20.515 
632 795 13 14 4 0 100 5.579 20.710 
795 1000 13 14 4 0 100 5.972 20.036 
1000 3500 13 14 4 0 100 6.141 19.326 
20 26 14 15 4 0 100 7.711 9.404 
26 32 14 15 4 0 100 6.348 10.649 
32 40 14 15 4 0 100 7.832 11.088 
40 51 14 15 4 0 100 6.620 11.688 
51 64 14 15 4 0 100 7.033 12.704 
64 80 14 15 4 0 100 6.211 13.499 
80 101 14 15 4 0 100 5.925 14.437 
101 127 14 15 4 0 100 6.001 15.116 
127 159 14 15 4 0 100 5.475 15.863 
159 200 14 15 4 0 100 5.503 16.683 
200 252 14 15 4 0 100 5.474 17.865 
252 317 14 15 4 0 100 5.440 18.360 
317 399 14 15 4 0 100 5.498 19.330 
399 502 14 15 4 0 100 5.318 20.241 
502 632 14 15 4 0 100 5.639 20.582 
632 795 14 15 4 0 100 5.656 21.334 
795 1000 14 15 4 0 100 6.103 20.774 
1000 3500 14 15 4 0 100 8.439 19.241 
20 26 15 16 4 0 100 5.270 9.820 
26 32 15 16 4 0 100 5.776 10.597 
32 40 15 16 4 0 100 6.507 11.220 
40 51 15 16 4 0 100 6.674 12.010 
51 64 15 16 4 0 100 6.549 12.930 
64 80 15 16 4 0 100 6.547 13.778 
80 101 15 16 4 0 100 6.124 14.573 
101 127 15 16 4 0 100 5.999 15.595 
127 159 15 16 4 0 100 5.780 16.130 
159 200 15 16 4 0 100 5.291 17.283 
200 252 15 16 4 0 100 5.592 17.906 
252 317 15 16 4 0 100 5.229 18.806 
317 399 15 16 4 0 100 5.434 19.849 
399 502 15 16 4 0 100 5.471 20.057 
502 632 15 16 4 0 100 5.627 20.961 
632 795 15 16 4 0 100 6.300 21.384 
795 1000 15 16 4 0 100 6.381 20.466 
1000 3500 15 16 4 0 100 6.088 19.706 
20 26 16 17 4 0 100 6.785 9.725 
26 32 16 17 4 0 100 5.168 10.363 
32 40 16 17 4 0 100 7.422 11.290 
40 51 16 17 4 0 100 6.745 12.711 
51 64 16 17 4 0 100 7.544 13.530 
64 80 16 17 4 0 100 5.991 14.618 
80 101 16 17 4 0 100 5.966 14.655 
101 127 16 17 4 0 100 6.256 15.755 
127 159 16 17 4 0 100 5.753 16.385 
159 200 16 17 4 0 100 5.584 17.317 
200 252 16 17 4 0 100 5.574 17.816 
252 317 16 17 4 0 100 5.682 18.701 
317 399 16 17 4 0 100 5.500 19.910 
399 502 16 17 4 0 100 5.978 21.007 
502 632 16 17 4 0 100 5.841 20.873 
632 795 16 17 4 0 100 5.792 21.392 
795 1000 16 17 4 0 100 6.090 21.993 
1000 3500 16 17 4 0 100 6.212 20.102 
20 26 17 18 4 0 100 4.333 11.122 
26 32 17 18 4 0 100 7.168 12.167 
32 40 17 18 4 0 100 8.196 12.017 
40 51 17 18 4 0 100 8.526 12.638 
51 64 17 18 4 0 100 6.907 14.363 
64 80 17 18 4 0 100 5.744 14.121 
80 101 17 18 4 0 100 6.758 15.351 
101 127 17 18 4 0 100 6.335 15.708 
127 159 17 18 4 0 100 5.952 16.797 
159 200 17 18 4 0 100 5.503 17.616 
200 252 17 18 4 0 100 5.652 18.790 
252 317 17 18 4 0 100 5.673 19.023 
317 399 17 18 4 0 100 5.710 19.997 
399 502 17 18 4 0 100 5.510 20.607 
502 632 17 18 4 0 100 6.233 21.219 
632 795 17 18 4 0 100 5.914 22.000 
795 1000 17 18 4 0 100 5.311 23.072 
1000 3500 17 18 4 0 100 3.629 25.770 
20 26 18 19 4 0 100 6.442 10.220 
26 32 18 19 4 0 100 3.574 13.594 
32 40 18 19 4 0 100 4.597 13.034 
40 51 18 19 4 0 100 8.077 13.278 
51 64 18 19 4 0 100 6.620 13.933 
64 80 18 19 4 0 100 5.889 15.252 
80 101 18 19 4 0 100 5.364 15.059 
